Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A Spectral Count	B Spectral Count	C Spectral Count	D Spectral Count	E Spectral Count	A Unique Spectral Count	B Unique Spectral Count	C Unique Spectral Count	D Unique Spectral Count	E Unique Spectral Count	A Total Spectral Count	B Total Spectral Count	C Total Spectral Count	D Total Spectral Count	E Total Spectral Count	A Intensity	B Intensity	C Intensity	D Intensity	E Intensity	Indistinguishable Proteins
sp|Q8WUA8|TSK_HUMAN	Q8WUA8	TSK_HUMAN	TSKU	353	Homo sapiens	1:Experimental evidence at protein level	Tsukushi	0.9994	0.999	2	12	12	12	2	2	2	4	2	2	2	2	4	2	2	2	2	4	2	2.0117347E8	1.3276499E8	2.0205952E8	2.9742054E8	9.299395E7	
sp|Q8WUB8|PHF10_HUMAN	Q8WUB8	PHF10_HUMAN	PHF10	498	Homo sapiens	1:Experimental evidence at protein level	PHD finger protein 10	1.0	0.999	5	24	24	24	7	5	4	2	6	7	5	4	2	6	7	5	4	2	6	6.591396E8	4.2134867E8	2.96939E7	5.4502704E7	1.5312307E8	
sp|Q8WUD1|RAB2B_HUMAN	Q8WUD1	RAB2B_HUMAN	RAB2B	216	Homo sapiens	1:Experimental evidence at protein level	Ras-related protein Rab-2B	1.0	0.999	12	39	39	85	9	8	9	6	7	9	8	9	6	7	22	15	16	18	14	1.1526437E9	1.1090259E9	1.1665087E9	6.518437E8	2.620933E9	
sp|Q8WUD4|CCD12_HUMAN	Q8WUD4	CCD12_HUMAN	CCDC12	166	Homo sapiens	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 12	1.0	0.999	11	113	113	113	30	17	22	23	21	30	17	22	23	21	30	17	22	23	21	8.505434E9	3.309761E9	4.537833E9	3.3135E9	8.130502E9	
sp|Q8WUF5|IASPP_HUMAN	Q8WUF5	IASPP_HUMAN	PPP1R13L	828	Homo sapiens	1:Experimental evidence at protein level	RelA-associated inhibitor	1.0	0.999	16	120	120	120	24	19	28	29	20	24	19	28	29	20	24	19	28	29	20	7.4997996E9	4.661455E9	4.1982364E9	3.8251453E9	9.275727E9	
sp|Q8WUF8|ARB2A_HUMAN	Q8WUF8	ARB2A_HUMAN	ARB2A	416	Homo sapiens	1:Experimental evidence at protein level	Cotranscriptional regulator ARB2A	1.0	0.999	14	88	88	88	17	19	19	16	17	17	19	19	16	17	17	19	19	16	17	2.6918612E9	2.0420493E9	1.7424941E9	1.8195699E9	3.6897352E9	
sp|Q8WUG5|S22AH_HUMAN	Q8WUG5	S22AH_HUMAN	SLC22A17	649	Homo sapiens	1:Experimental evidence at protein level	Solute carrier family 22 member 17	0.9995	0.999	2	6	6	6	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2.8563998E7	2.9865052E7	1.6853534E7	9.211731E7	1.8608227E8	
sp|Q8WUH1|CHUR_HUMAN	Q8WUH1	CHUR_HUMAN	CHURC1	112	Homo sapiens	1:Experimental evidence at protein level	Protein Churchill	1.0	0.999	6	29	29	29	9	3	6	5	6	9	3	6	5	6	9	3	6	5	6	1.7265595E9	7.8916275E8	7.848691E8	6.4182246E8	3.1745168E8	
sp|Q8WUH2|TGFA1_HUMAN	Q8WUH2	TGFA1_HUMAN	TGFBRAP1	860	Homo sapiens	1:Experimental evidence at protein level	Transforming growth factor-beta receptor-associated protein 1	1.0	0.999	15	124	124	124	26	19	26	27	26	26	19	26	27	26	26	19	26	27	26	3.4723295E9	2.574678E9	2.2942175E9	3.3929037E9	6.062396E9	
sp|Q8WUH6|TM263_HUMAN	Q8WUH6	TM263_HUMAN	TMEM263	116	Homo sapiens	1:Experimental evidence at protein level	Transmembrane protein 263	1.0	0.999	3	32	32	32	4	1	9	9	9	4	1	9	9	9	4	1	9	9	9	4.4071507E8	1.9798965E8	2.8114314E8	7.796341E8	2.417152E8	
sp|Q8WUI4|HDAC7_HUMAN	Q8WUI4	HDAC7_HUMAN	HDAC7	952	Homo sapiens	1:Experimental evidence at protein level	Histone deacetylase 7	1.0	0.999	6	39	39	39	4	6	8	12	9	4	6	8	12	9	4	6	8	12	9	5.169256E8	4.879376E8	7.865559E8	9.3890816E8	1.1305705E9	
sp|Q8WUJ0|STYX_HUMAN	Q8WUJ0	STYX_HUMAN	STYX	223	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine/tyrosine-interacting protein	1.0	0.999	6	27	27	27	3	5	6	8	5	3	5	6	8	5	3	5	6	8	5	2.4211994E8	1.3028856E8	1.788423E8	6.925217E8	3.0872317E8	
sp|Q8WUJ1|NEUFC_HUMAN	Q8WUJ1	NEUFC_HUMAN	CYB5D2	264	Homo sapiens	1:Experimental evidence at protein level	Neuferricin	0.9994	0.999	2	11	11	11	2	3	3	2	1	2	3	3	2	1	2	3	3	2	1	5.6527524E7	2.9166108E7	4.3018884E7	9.76263E7	6.4218988E7	
sp|Q8WUJ3|CEMIP_HUMAN	Q8WUJ3	CEMIP_HUMAN	CEMIP	1361	Homo sapiens	1:Experimental evidence at protein level	Cell migration-inducing and hyaluronan-binding protein	1.0	0.999	6	6	6	6	3	0	0	1	2	3	0	0	1	2	3	0	0	1	2	1.2063596E8	0.0	0.0	1.4916779E7	8666582.0	
sp|Q8WUK0|PTPM1_HUMAN	Q8WUK0	PTPM1_HUMAN	PTPMT1	201	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	1.0	0.999	5	36	36	36	8	6	7	8	7	8	6	7	8	7	8	6	7	8	7	1.5089416E9	9.308066E8	8.7609715E8	1.5175808E9	1.8079401E9	
sp|Q8WUM0|NU133_HUMAN	Q8WUM0	NU133_HUMAN	NUP133	1156	Homo sapiens	1:Experimental evidence at protein level	Nuclear pore complex protein Nup133	1.0	0.999	34	319	319	319	61	57	67	66	68	61	57	67	66	68	61	57	67	66	68	1.4641894E10	1.1971982E10	1.2359755E10	1.4086228E10	1.6319042E10	
sp|Q8WUM4|PDC6I_HUMAN	Q8WUM4	PDC6I_HUMAN	PDCD6IP	868	Homo sapiens	1:Experimental evidence at protein level	Programmed cell death 6-interacting protein	1.0	0.999	44	881	881	881	216	184	143	196	142	216	184	143	196	142	216	184	143	196	142	1.21804366E11	9.550173E10	1.00768915E11	1.2398323E11	1.6696605E11	
sp|Q8WUM9|S20A1_HUMAN	Q8WUM9	S20A1_HUMAN	SLC20A1	679	Homo sapiens	1:Experimental evidence at protein level	Sodium-dependent phosphate transporter 1	1.0	0.999	4	18	18	18	3	4	4	4	3	3	4	4	4	3	3	4	4	4	3	1.3920026E8	1.3134668E8	1.2466858E8	1.9429115E8	1.8501221E8	
sp|Q8WUN7|UBTD2_HUMAN	Q8WUN7	UBTD2_HUMAN	UBTD2	234	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin domain-containing protein 2	1.0	0.999	7	78	27	78	18	10	15	18	17	5	5	3	7	7	18	10	15	18	17	1.2442394E9	8.461489E8	7.670216E8	1.6996572E9	8.346929E8	
sp|Q8WUP2|FBLI1_HUMAN	Q8WUP2	FBLI1_HUMAN	FBLIM1	373	Homo sapiens	1:Experimental evidence at protein level	Filamin-binding LIM protein 1	1.0	0.999	8	93	93	93	23	11	19	22	18	23	11	19	22	18	23	11	19	22	18	7.413526E9	3.8998797E9	3.062571E9	7.2130237E9	9.693554E9	
sp|Q8WUQ7|CATIN_HUMAN	Q8WUQ7	CATIN_HUMAN	CACTIN	758	Homo sapiens	1:Experimental evidence at protein level	Splicing factor Cactin	1.0	0.999	20	84	84	84	19	12	17	15	21	19	12	17	15	21	19	12	17	15	21	1.9215827E9	1.03491174E9	1.3230063E9	1.1728032E9	2.0040027E9	
sp|Q8WUR7|CO040_HUMAN	Q8WUR7	CO040_HUMAN	C15orf40	153	Homo sapiens	1:Experimental evidence at protein level	UPF0235 protein C15orf40	1.0	0.999	3	29	29	29	7	5	6	5	6	7	5	6	5	6	7	5	6	5	6	1.5205709E9	8.7556064E8	1.1694579E9	1.1004826E9	2.0233636E9	
sp|Q8WUT9|S2543_HUMAN	Q8WUT9	S2543_HUMAN	SLC25A43	341	Homo sapiens	2:Experimental evidence at transcript level	Solute carrier family 25 member 43	0.9764	0.999	1	4	4	4	0	0	1	1	2	0	0	1	1	2	0	0	1	1	2	0.0	0.0	2.8270412E7	1566540.4	8.953717E7	
sp|Q8WUU4|ZN296_HUMAN	Q8WUU4	ZN296_HUMAN	ZNF296	475	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 296	0.9536	0.998	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	1.0088658E7	
sp|Q8WUU5|GATD1_HUMAN	Q8WUU5	GATD1_HUMAN	GATAD1	269	Homo sapiens	1:Experimental evidence at protein level	GATA zinc finger domain-containing protein 1	1.0	0.999	3	13	13	13	2	2	3	3	3	2	2	3	3	3	2	2	3	3	3	1.1387891E8	1.3204703E8	2.710651E8	4.6949408E8	1.3041558E8	
sp|Q8WUW1|BRK1_HUMAN	Q8WUW1	BRK1_HUMAN	BRK1	75	Homo sapiens	1:Experimental evidence at protein level	Protein BRICK1	1.0	0.999	5	50	50	50	14	8	9	12	7	14	8	9	12	7	14	8	9	12	7	5.138242E9	3.7471644E9	5.850197E9	7.2526316E9	2.3473416E9	
sp|Q8WUX2|CHAC2_HUMAN	Q8WUX2	CHAC2_HUMAN	CHAC2	184	Homo sapiens	1:Experimental evidence at protein level	Glutathione-specific gamma-glutamylcyclotransferase 2	1.0	0.999	3	16	16	16	2	2	4	5	3	2	2	4	5	3	2	2	4	5	3	1.0802702E8	9.405347E7	3.516273E8	2.828582E8	2.4826994E8	
sp|Q8WUX9|CHMP7_HUMAN	Q8WUX9	CHMP7_HUMAN	CHMP7	453	Homo sapiens	1:Experimental evidence at protein level	Charged multivesicular body protein 7	1.0	0.999	17	83	83	83	14	11	23	13	22	14	11	23	13	22	14	11	23	13	22	2.8065385E9	1.33851E9	4.879035E9	1.9886473E9	4.584401E9	
sp|Q8WUY1|THEM6_HUMAN	Q8WUY1	THEM6_HUMAN	THEM6	208	Homo sapiens	1:Experimental evidence at protein level	Protein THEM6	1.0	0.999	8	137	137	137	41	30	27	22	17	41	30	27	22	17	41	30	27	22	17	1.9135918E10	1.2762317E10	8.5787366E9	9.990213E9	1.3202098E10	
sp|Q8WUY3|PRUN2_HUMAN	Q8WUY3	PRUN2_HUMAN	PRUNE2	3088	Homo sapiens	1:Experimental evidence at protein level	Protein prune homolog 2	1.0	0.999	9	17	17	17	4	3	5	1	4	4	3	5	1	4	4	3	5	1	4	2.4843325E8	1.2941162E8	1.4413835E8	1.2067379E8	1.1660347E8	
sp|Q8WUY8|NAT14_HUMAN	Q8WUY8	NAT14_HUMAN	NAT14	206	Homo sapiens	1:Experimental evidence at protein level	Probable N-acetyltransferase 14	1.0	0.999	2	27	27	27	6	4	4	7	6	6	4	4	7	6	6	4	4	7	6	2.522073E9	1.2047188E9	1.123003E9	1.5959795E9	1.7548856E9	
sp|Q8WUY9|DEP1B_HUMAN	Q8WUY9	DEP1B_HUMAN	DEPDC1B	529	Homo sapiens	1:Experimental evidence at protein level	DEP domain-containing protein 1B	0.9763	0.999	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	8569880.0	
sp|Q8WUZ0|BCL7C_HUMAN	Q8WUZ0	BCL7C_HUMAN	BCL7C	217	Homo sapiens	1:Experimental evidence at protein level	B-cell CLL/lymphoma 7 protein family member C	1.0	0.999	6	47	47	47	10	6	9	11	11	10	6	9	11	11	10	6	9	11	11	2.2149084E9	1.7047556E9	2.1829437E8	1.2679762E9	9.9731795E8	
sp|Q8WV07|LTO1_HUMAN	Q8WV07	LTO1_HUMAN	LTO1	137	Homo sapiens	1:Experimental evidence at protein level	Protein LTO1 homolog	1.0	0.999	4	11	11	11	3	1	0	4	3	3	1	0	4	3	3	1	0	4	3	3.9255864E7	9019442.0	0.0	1.1209265E8	4.3094016E7	
sp|Q8WV16|DCAF4_HUMAN	Q8WV16	DCAF4_HUMAN	DCAF4	495	Homo sapiens	1:Experimental evidence at protein level	DDB1- and CUL4-associated factor 4	1.0	0.999	7	17	13	17	4	2	3	4	4	3	1	2	3	4	4	2	3	4	4	1.1968314E8	6.4740376E7	6.982098E7	8.850801E7	5.6530504E7	
sp|Q8WV19|SFT2A_HUMAN	Q8WV19	SFT2A_HUMAN	SFT2D1	159	Homo sapiens	1:Experimental evidence at protein level	Vesicle transport protein SFT2A	0.9755	0.999	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0.0	0.0	3274652.5	0.0	0.0	
sp|Q8WV22|NSE1_HUMAN	Q8WV22	NSE1_HUMAN	NSMCE1	266	Homo sapiens	1:Experimental evidence at protein level	Non-structural maintenance of chromosomes element 1 homolog	1.0	0.999	6	47	47	47	8	11	9	10	9	8	11	9	10	9	8	11	9	10	9	8.8667194E8	1.3876442E9	1.6334038E9	1.2114871E9	2.319659E9	
sp|Q8WV24|PHLA1_HUMAN	Q8WV24	PHLA1_HUMAN	PHLDA1	401	Homo sapiens	1:Experimental evidence at protein level	Pleckstrin homology-like domain family A member 1	0.9953	0.999	3	7	7	7	2	1	0	3	1	2	1	0	3	1	2	1	0	3	1	1.585184E8	2.6617998E7	0.0	2.865692E9	6.457827E7	
sp|Q8WV28|BLNK_HUMAN	Q8WV28	BLNK_HUMAN	BLNK	456	Homo sapiens	1:Experimental evidence at protein level	B-cell linker protein	1.0	0.999	4	14	14	14	1	2	3	4	4	1	2	3	4	4	1	2	3	4	4	8.744387E7	1.7208264E7	1.2373286E8	3.0723434E8	2.2754646E8	
sp|Q8WV37|ZN480_HUMAN	Q8WV37	ZN480_HUMAN	ZNF480	535	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 480	0.9764	0.999	3	3	3	21	1	1	1	0	0	1	1	1	0	0	7	4	4	3	3	2.3521688E7	2.177804E7	1.095868E7	0.0	0.0	
sp|Q8WV41|SNX33_HUMAN	Q8WV41	SNX33_HUMAN	SNX33	574	Homo sapiens	1:Experimental evidence at protein level	Sorting nexin-33	1.0	0.999	11	60	60	60	14	14	11	12	9	14	14	11	12	9	14	14	11	12	9	1.69127E9	1.1957798E9	5.870609E8	1.6132833E9	1.9654445E9	
sp|Q8WV44|TRI41_HUMAN	Q8WV44	TRI41_HUMAN	TRIM41	630	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase TRIM41	1.0	0.999	7	17	17	17	2	2	4	3	6	2	2	4	3	6	2	2	4	3	6	3.7701597E8	1.5185816E8	3.0682294E8	1.392189E8	9.82862E8	
sp|Q8WV74|NUDT8_HUMAN	Q8WV74	NUDT8_HUMAN	NUDT8	236	Homo sapiens	1:Experimental evidence at protein level	Mitochondrial coenzyme A diphosphatase NUDT8	1.0	0.999	3	15	15	15	1	2	5	4	3	1	2	5	4	3	1	2	5	4	3	4.1698668E7	3.4690794E8	4.829592E8	4.2661773E8	9.64183E7	
sp|Q8WV83|S35F5_HUMAN	Q8WV83	S35F5_HUMAN	SLC35F5	523	Homo sapiens	1:Experimental evidence at protein level	Solute carrier family 35 member F5	1.0	0.999	3	10	10	14	2	1	2	3	2	2	1	2	3	2	4	1	3	3	3	2.2500022E8	7695334.5	3.814023E7	2.5365992E8	2.552368E8	
sp|Q8WV92|MITD1_HUMAN	Q8WV92	MITD1_HUMAN	MITD1	249	Homo sapiens	1:Experimental evidence at protein level	MIT domain-containing protein 1	1.0	0.999	5	27	27	27	5	4	7	6	5	5	4	7	6	5	5	4	7	6	5	3.947881E8	3.538653E8	4.024948E8	5.31113E8	4.6955248E8	
sp|Q8WV93|AFG1L_HUMAN	Q8WV93	AFG1L_HUMAN	AFG1L	481	Homo sapiens	1:Experimental evidence at protein level	AFG1-like ATPase	1.0	0.999	10	35	35	35	5	5	10	6	9	5	5	10	6	9	5	5	10	6	9	3.00425E8	1.4960178E8	3.300741E8	2.2905312E8	6.3854086E8	
sp|Q8WV99|ZFN2B_HUMAN	Q8WV99	ZFN2B_HUMAN	ZFAND2B	257	Homo sapiens	1:Experimental evidence at protein level	AN1-type zinc finger protein 2B	0.9764	0.999	1	3	3	3	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	3.811235E7	3.7194628E7	0.0	0.0	2.6066606E7	
sp|Q8WVB3|HEXD_HUMAN	Q8WVB3	HEXD_HUMAN	HEXD	486	Homo sapiens	1:Experimental evidence at protein level	Hexosaminidase D	1.0	0.999	9	28	28	28	4	3	5	5	11	4	3	5	5	11	4	3	5	5	11	3.0316627E8	1.6566528E8	1.6832946E8	1.721282E8	5.7929696E8	
sp|Q8WVB6|CTF18_HUMAN	Q8WVB6	CTF18_HUMAN	CHTF18	975	Homo sapiens	1:Experimental evidence at protein level	Chromosome transmission fidelity protein 18 homolog	1.0	0.999	12	49	49	49	10	8	8	10	13	10	8	8	10	13	10	8	8	10	13	9.774483E8	6.0783814E8	2.3258582E8	5.772847E8	1.1158026E9	
sp|Q8WVC0|LEO1_HUMAN	Q8WVC0	LEO1_HUMAN	LEO1	666	Homo sapiens	1:Experimental evidence at protein level	RNA polymerase-associated protein LEO1	1.0	0.999	26	138	138	138	33	24	28	30	23	33	24	28	30	23	33	24	28	30	23	4.5353216E9	2.7847754E9	3.106726E9	4.384292E9	5.6607473E9	
sp|Q8WVC6|DCAKD_HUMAN	Q8WVC6	DCAKD_HUMAN	DCAKD	231	Homo sapiens	1:Experimental evidence at protein level	Dephospho-CoA kinase domain-containing protein	1.0	0.999	4	30	30	30	9	4	7	7	3	9	4	7	7	3	9	4	7	7	3	7.368827E8	3.2548566E8	3.6520704E8	3.9810138E8	5.9557894E8	
sp|Q8WVD3|RN138_HUMAN	Q8WVD3	RN138_HUMAN	RNF138	245	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase RNF138	1.0	0.999	2	12	12	12	4	3	2	2	1	4	3	2	2	1	4	3	2	2	1	1.2662063E8	8.574599E7	5.251781E7	1.4070216E8	1.4374202E8	
sp|Q8WVD5|RN141_HUMAN	Q8WVD5	RN141_HUMAN	RNF141	230	Homo sapiens	1:Experimental evidence at protein level	RING finger protein 141	1.0	0.999	3	28	28	28	5	4	5	8	6	5	4	5	8	6	5	4	5	8	6	4.822235E8	3.817076E8	4.3993238E8	9.51301E8	5.3853715E8	
sp|Q8WVE0|EFMT1_HUMAN	Q8WVE0	EFMT1_HUMAN	EEF1AKMT1	214	Homo sapiens	1:Experimental evidence at protein level	EEF1A lysine methyltransferase 1	1.0	0.999	3	10	10	10	1	1	2	4	2	1	1	2	4	2	1	1	2	4	2	3.538686E7	8271017.0	1.6863117E8	3.6996864E8	1.781409E8	
sp|Q8WVF1|OSCP1_HUMAN	Q8WVF1	OSCP1_HUMAN	OSCP1	389	Homo sapiens	1:Experimental evidence at protein level	Protein OSCP1	1.0	0.999	9	35	35	35	6	5	4	10	10	6	5	4	10	10	6	5	4	10	10	7.4370266E8	3.739595E8	7.1178424E7	8.702368E8	1.0429288E9	
sp|Q8WVI0|UQCC5_HUMAN	Q8WVI0	UQCC5_HUMAN	UQCC5	70	Homo sapiens	1:Experimental evidence at protein level	Ubiquinol-cytochrome c reductase complex assembly factor 5	0.9764	0.999	1	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.698319E8	1.834975E8	2.8744432E8	4.3341962E8	1.06211896E8	
sp|Q8WVJ2|NUDC2_HUMAN	Q8WVJ2	NUDC2_HUMAN	NUDCD2	157	Homo sapiens	1:Experimental evidence at protein level	NudC domain-containing protein 2	1.0	0.999	4	31	31	31	7	5	7	7	5	7	5	7	7	5	7	5	7	7	5	3.3770652E9	1.4517619E9	2.9332145E9	1.5309299E9	4.0779036E9	
sp|Q8WVK2|SNR27_HUMAN	Q8WVK2	SNR27_HUMAN	SNRNP27	155	Homo sapiens	1:Experimental evidence at protein level	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein	1.0	0.999	4	20	20	20	7	3	1	7	2	7	3	1	7	2	7	3	1	7	2	8.244E8	3.368147E8	8329938.5	7.906738E8	6.0444344E7	
sp|Q8WVK7|SKA2_HUMAN	Q8WVK7	SKA2_HUMAN	SKA2	121	Homo sapiens	1:Experimental evidence at protein level	Spindle and kinetochore-associated protein 2	0.9994	0.999	2	8	8	8	3	1	0	2	2	3	1	0	2	2	3	1	0	2	2	1.2120585E8	7.4708344E7	0.0	5.490557E7	6.2008124E7	
sp|Q8WVL7|ANR49_HUMAN	Q8WVL7	ANR49_HUMAN	ANKRD49	239	Homo sapiens	1:Experimental evidence at protein level	Ankyrin repeat domain-containing protein 49	1.0	0.999	5	23	23	23	4	2	5	4	8	4	2	5	4	8	4	2	5	4	8	4.2880896E8	2.6256654E8	3.0844714E8	5.422818E8	7.300616E8	
sp|Q8WVM0|TFB1M_HUMAN	Q8WVM0	TFB1M_HUMAN	TFB1M	346	Homo sapiens	1:Experimental evidence at protein level	Dimethyladenosine transferase 1, mitochondrial	1.0	0.999	6	23	23	23	6	4	5	3	5	6	4	5	3	5	6	4	5	3	5	5.582652E8	3.5842083E8	6.310379E8	8.122724E8	9.4631514E8	
sp|Q8WVM7|STAG1_HUMAN	Q8WVM7	STAG1_HUMAN	STAG1	1258	Homo sapiens	1:Experimental evidence at protein level	Cohesin subunit SA-1	1.0	0.999	36	282	216	282	58	40	67	65	52	45	31	53	47	40	58	40	67	65	52	1.4655092E10	1.0156335E10	1.0009733E10	1.3339751E10	1.711635E10	
sp|Q8WVM8|SCFD1_HUMAN	Q8WVM8	SCFD1_HUMAN	SCFD1	642	Homo sapiens	1:Experimental evidence at protein level	Sec1 family domain-containing protein 1	1.0	0.999	26	245	245	245	48	42	49	51	55	48	42	49	51	55	48	42	49	51	55	1.1005044E10	7.213142E9	1.8941719E10	1.4446653E10	3.1022717E10	
sp|Q8WVN8|UB2Q2_HUMAN	Q8WVN8	UB2Q2_HUMAN	UBE2Q2	375	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 Q2	1.0	0.999	8	15	15	32	4	2	4	3	2	4	2	4	3	2	8	4	8	7	5	2.969819E8	6.3140852E7	4.0302838E8	4.8438976E8	3.054885E8	
sp|Q8WVP5|TP8L1_HUMAN	Q8WVP5	TP8L1_HUMAN	TNFAIP8L1	186	Homo sapiens	1:Experimental evidence at protein level	Tumor necrosis factor alpha-induced protein 8-like protein 1	0.9994	0.999	2	3	3	3	2	0	0	1	0	2	0	0	1	0	2	0	0	1	0	7.4771896E7	0.0	0.0	2.7556416E7	0.0	
sp|Q8WVP7|LMBR1_HUMAN	Q8WVP7	LMBR1_HUMAN	LMBR1	490	Homo sapiens	1:Experimental evidence at protein level	Limb region 1 protein homolog	1.0	0.999	3	13	6	13	4	2	1	5	1	2	1	0	3	0	4	2	1	5	1	1.76341E8	1.1067538E8	1.0927748E8	2.0572936E8	9.918953E7	
sp|Q8WVQ1|CANT1_HUMAN	Q8WVQ1	CANT1_HUMAN	CANT1	401	Homo sapiens	1:Experimental evidence at protein level	Soluble calcium-activated nucleotidase 1	1.0	0.999	12	119	119	119	24	20	23	23	29	24	20	23	23	29	24	20	23	23	29	4.7056123E9	4.6739425E9	5.280399E9	6.4831877E9	9.416036E9	
sp|Q8WVR3|TPC14_HUMAN	Q8WVR3	TPC14_HUMAN	TRAPPC14	580	Homo sapiens	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 14	1.0	0.999	5	15	15	15	1	1	7	3	3	1	1	7	3	3	1	1	7	3	3	1.0623388E7	7.168251E7	2.0754771E8	4.533747E8	4.631552E8	
sp|Q8WVS4|DC2I1_HUMAN	Q8WVS4	DC2I1_HUMAN	DYNC2I1	1066	Homo sapiens	1:Experimental evidence at protein level	Cytoplasmic dynein 2 intermediate chain 1	1.0	0.999	18	52	52	52	11	7	10	10	14	11	7	10	10	14	11	7	10	10	14	3.9792157E8	1.5280282E8	2.878564E8	4.0251597E8	6.858697E8	
sp|Q8WVT3|TPC12_HUMAN	Q8WVT3	TPC12_HUMAN	TRAPPC12	735	Homo sapiens	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 12	1.0	0.999	14	91	91	91	18	14	19	20	20	18	14	19	20	20	18	14	19	20	20	4.7075963E9	2.8674012E9	2.948543E9	3.242876E9	4.5344323E9	
sp|Q8WVV4|POF1B_HUMAN	Q8WVV4	POF1B_HUMAN	POF1B	589	Homo sapiens	1:Experimental evidence at protein level	Protein POF1B	1.0	0.999	12	64	64	64	5	9	17	19	14	5	9	17	19	14	5	9	17	19	14	2.6177168E8	7.993841E8	2.9835656E9	3.826565E9	7.129891E9	
sp|Q8WVV9|HNRLL_HUMAN	Q8WVV9	HNRLL_HUMAN	HNRNPLL	542	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein L-like	1.0	0.999	21	156	156	156	32	27	37	28	32	32	27	37	28	32	32	27	37	28	32	8.161196E9	5.372375E9	4.650291E9	4.64898E9	5.4806467E9	
sp|Q8WVX9|FACR1_HUMAN	Q8WVX9	FACR1_HUMAN	FAR1	515	Homo sapiens	1:Experimental evidence at protein level	Fatty acyl-CoA reductase 1	1.0	0.999	11	74	74	74	14	7	18	19	16	14	7	18	19	16	14	7	18	19	16	1.8837316E9	1.2493334E9	3.5748378E9	4.2304486E9	2.1259936E9	
sp|Q8WVY7|UBCP1_HUMAN	Q8WVY7	UBCP1_HUMAN	UBLCP1	318	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like domain-containing CTD phosphatase 1	1.0	0.999	8	102	102	102	23	14	20	23	22	23	14	20	23	22	23	14	20	23	22	7.364397E9	5.105716E9	7.744357E9	9.147182E9	9.711303E9	
sp|Q8WVZ9|KBTB7_HUMAN	Q8WVZ9	KBTB7_HUMAN	KBTBD7	684	Homo sapiens	1:Experimental evidence at protein level	Kelch repeat and BTB domain-containing protein 7	1.0	0.999	8	18	18	26	4	3	4	3	4	4	3	4	3	4	5	3	7	4	7	2.1309557E8	1.2062165E8	1.256844E9	1.8070576E8	2.9820214E8	
sp|Q8WW01|SEN15_HUMAN	Q8WW01	SEN15_HUMAN	TSEN15	171	Homo sapiens	1:Experimental evidence at protein level	tRNA-splicing endonuclease subunit Sen15	1.0	0.999	4	26	26	26	5	4	5	8	4	5	4	5	8	4	5	4	5	8	4	6.263992E8	4.0622243E8	2.3803043E8	5.730429E8	6.0368576E8	
sp|Q8WW12|PCNP_HUMAN	Q8WW12	PCNP_HUMAN	PCNP	178	Homo sapiens	1:Experimental evidence at protein level	PEST proteolytic signal-containing nuclear protein	1.0	0.999	7	83	83	83	20	16	16	12	19	20	16	16	12	19	20	16	16	12	19	9.583624E9	5.381078E9	6.3469015E9	5.9518597E9	1.143967E10	
sp|Q8WW22|DNJA4_HUMAN	Q8WW22	DNJA4_HUMAN	DNAJA4	397	Homo sapiens	1:Experimental evidence at protein level	DnaJ homolog subfamily A member 4	1.0	0.999	10	83	83	83	14	11	18	17	23	14	11	18	17	23	14	11	18	17	23	3.2565128E9	1.9037725E9	2.9924516E9	5.212761E9	4.9035587E9	
sp|Q8WW35|DYT2B_HUMAN	Q8WW35	DYT2B_HUMAN	DYNLT2B	142	Homo sapiens	1:Experimental evidence at protein level	Dynein light chain Tctex-type protein 2B	0.9764	0.999	1	2	2	2	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0.0	0.0	0.0	2241063.2	4754375.0	
